year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,Position,Streams,spotify date,spins,radio_rank,chartmetric date
2021,2021-01-23,8,bang,ajr,0,english,362,0,0,1,201,1532055,NA,317,384,2021-01-14
2021,2021-01-23,8,bang,ajr,0,english,362,0,0,1,201,1532055,NA,5887,8,2021-01-14
2021,2021-01-23,77,beers and sunshine,darius rucker,0,english,301,0,0,NA,201,1532055,NA,2800,36,2021-01-14
2021,2021-01-23,59,"big, big plans",chris lane,0,english,424,0,0,NA,201,1532055,NA,2882,32,2021-01-14
2021,2021-01-23,56,bs,jhene aiko,0,english,474,0,0,NA,201,1532055,NA,3884,18,2021-01-14
2021,2021-01-23,53,champagne night,lady a,0,english,371,9,2.43,NA,201,1532055,NA,3391,22,2021-01-14
2021,2021-01-23,64,damage,her,0,english,291,0,0,NA,201,1532055,NA,2125,61,2021-01-14
2021,2021-01-23,47,diamonds,sam smith,0,english,513,0,0,NA,201,1532055,NA,4011,17,2021-01-14
2021,2021-01-23,82,down to one,luke bryan,0,english,379,0,0,NA,201,1532055,NA,2371,50,2021-01-14
2021,2021-01-23,97,girl like me,black eyed peas,0,english,377,0,0,NA,201,1532055,NA,754,163,2021-01-14
2021,2021-01-23,44,good time,niko moon,0,english,371,0,0,NA,201,1532055,NA,2447,46,2021-01-14
2021,2021-01-23,70,happy does,kenny chesney,0,english,303,0,0,NA,201,1532055,NA,3008,30,2021-01-14
2021,2021-01-23,50,hawai,maluma,1,spanish,397,281,70.78,NA,201,1532055,NA,1133,111,2021-01-14
2021,2021-01-23,49,hole in the bottle,kelsea ballerini,0,english,296,0,0,NA,201,1532055,NA,2754,38,2021-01-14
2021,2021-01-23,30,i should probably go to bed,dan and shay,0,english,279,0,0,NA,201,1532055,NA,3531,21,2021-01-14
2021,2021-01-23,87,just the way,parmalee,0,english,511,0,0,NA,201,1532055,NA,2362,51,2021-01-14
2021,2021-01-23,28,kings and queens,ava max,0,english,312,0,0,NA,201,1532055,NA,6217,6,2021-01-14
2021,2021-01-23,79,long live,florida georgia line,0,english,269,0,0,NA,201,1532055,NA,2077,62,2021-01-14
2021,2021-01-23,60,love you like i used to,russell dickerson,0,english,301,0,0,NA,201,1532055,NA,2849,34,2021-01-14
2021,2021-01-23,98,midnight sky,miley cyrus,0,english,404,0,0,NA,201,1532055,NA,253,501,NA
2021,2021-01-23,81,monsters,all time low,0,english,458,0,0,NA,201,1532055,NA,1341,96,2021-01-14
2021,2021-01-23,95,pick up your feelings,jazmine sullivan,0,english,510,0,0,NA,201,1532055,NA,253,501,NA
2021,2021-01-23,43,savage love,jawsh 685,0,english,335,0,0,NA,201,1532055,NA,3050,29,2021-01-14
2021,2021-01-23,72,take you dancing,jason derulo,0,english,525,0,0,NA,201,1532055,NA,2012,64,2021-01-14
2021,2021-01-23,89,the good ones,gabby barrett,0,english,290,0,0,NA,201,1532055,NA,1513,85,2021-01-14
2021,2021-01-23,69,throat baby,brs kash,0,english,803,4,0.5,NA,201,1532055,NA,1388,93,2021-01-14
2021,2021-01-23,69,throat baby,brs kash,0,english,803,4,0.5,NA,201,1532055,NA,1660,77,2021-01-14
2021,2021-01-23,76,what's your country song,thomas rhett,0,english,274,0,0,NA,201,1532055,NA,253,501,NA
2021,2021-01-23,54,you're mines still,yung bleu,0,english,468,0,0,NA,201,1532055,NA,253,501,NA
2021,2021-01-30,58,back to the streets,saweetie,0,english,526,0,0,1,201,1486493,NA,3471,22,2021-01-21
2021,2021-01-30,9,bang,ajr,0,english,362,0,0,NA,201,1486493,NA,333,364,2021-01-21
2021,2021-01-30,9,bang,ajr,0,english,362,0,0,NA,201,1486493,NA,5896,8,2021-01-21
2021,2021-01-30,84,beat box,spotemgottem,0,english,336,0,0,NA,201,1486493,NA,252,501,NA
2021,2021-01-30,64,beers and sunshine,darius rucker,0,english,301,0,0,NA,201,1486493,NA,3040,30,2021-01-21
2021,2021-01-30,94,better days,ant clemons,0,english,336,0,0,1,201,1486493,NA,252,501,NA
2021,2021-01-30,68,"big, big plans",chris lane,0,english,424,0,0,NA,201,1486493,NA,2558,45,2021-01-21
2021,2021-01-30,62,champagne night,lady a,0,english,371,9,2.43,NA,201,1486493,NA,2218,56,2021-01-21
2021,2021-01-30,53,damage,her,0,english,291,0,0,NA,201,1486493,NA,2426,50,2021-01-21
2021,2021-01-30,47,diamonds,sam smith,0,english,513,0,0,NA,201,1486493,NA,4011,19,2021-01-21
2021,2021-01-30,70,down to one,luke bryan,0,english,379,0,0,NA,201,1486493,NA,2821,34,2021-01-21
2021,2021-01-30,42,good time,niko moon,0,english,371,0,0,NA,201,1486493,NA,2660,38,2021-01-21
2021,2021-01-30,57,happy does,kenny chesney,0,english,303,0,0,NA,201,1486493,NA,3201,25,2021-01-21
2021,2021-01-30,99,hell of a view,eric church,0,english,229,0,0,NA,201,1486493,NA,1448,87,2021-01-21
2021,2021-01-30,44,hole in the bottle,kelsea ballerini,0,english,296,0,0,NA,201,1486493,NA,3085,28,2021-01-21
2021,2021-01-30,73,just the way,parmalee,0,english,511,0,0,NA,201,1486493,NA,2713,37,2021-01-21
2021,2021-01-30,29,kings and queens,ava max,0,english,312,0,0,NA,201,1486493,NA,5012,13,2021-01-21
2021,2021-01-30,95,lady,brett young,0,english,268,0,0,NA,201,1486493,NA,1876,68,2021-01-21
2021,2021-01-30,80,long live,florida georgia line,0,english,269,0,0,NA,201,1486493,NA,2239,55,2021-01-21
2021,2021-01-30,56,love you like i used to,russell dickerson,0,english,301,0,0,NA,201,1486493,NA,2766,36,2021-01-21
2021,2021-01-30,93,mommas house,dustin lynch,0,english,374,0,0,NA,201,1486493,NA,2114,63,2021-01-21
2021,2021-01-30,77,monsters,all time low,0,english,458,0,0,NA,201,1486493,NA,1220,102,2021-01-21
2021,2021-01-30,98,one too many,keith urban,0,english,387,0,0,NA,201,1486493,NA,1299,98,2021-01-21
2021,2021-01-30,97,somebody like that,tenille arts,0,english,295,0,0,NA,201,1486493,NA,1763,74,2021-01-21
2021,2021-01-30,35,starting over,chris stapleton,0,english,257,0,0,NA,201,1486493,NA,2530,47,2021-01-21
2021,2021-01-30,78,take you dancing,jason derulo,0,english,525,0,0,NA,201,1486493,NA,2151,61,2021-01-21
2021,2021-01-30,81,the good ones,gabby barrett,0,english,290,0,0,NA,201,1486493,NA,1762,75,2021-01-21
2021,2021-01-30,54,throat baby,brs kash,0,english,803,4,0.5,NA,201,1486493,NA,1410,89,2021-01-21
2021,2021-01-30,54,throat baby,brs kash,0,english,803,4,0.5,NA,201,1486493,NA,1722,76,2021-01-21
2021,2021-01-30,76,undivided,tim mcgraw,0,english,349,0,0,NA,201,1486493,NA,685,169,2021-01-21
2021,2021-01-30,60,what's your country song,thomas rhett,0,english,274,0,0,NA,201,1486493,NA,252,501,NA
2021,2021-02-06,39,afterglow,ed sheeran,0,english,239,0,0,NA,201,1444016,NA,3302,26,2021-01-28
2021,2021-02-06,61,back to the streets,saweetie,0,english,526,0,0,NA,201,1444016,NA,3426,25,2021-01-28
2021,2021-02-06,10,bang,ajr,0,english,362,0,0,NA,201,1444016,NA,328,367,2021-01-28
2021,2021-02-06,10,bang,ajr,0,english,362,0,0,NA,201,1444016,NA,5637,8,2021-01-28
