year,date,rank,song,artist,binary,language,total_words,non_e_words,percent,individual songs,position,streams,spotify date,spins,radio_rank
2021,2021-03-20,12,What You Know Bout Love,Pop Smoke,0,english,464,0,0.00,,,,,,
2021,2021-03-20,13,Levitating,Dua Lipa,0,english,498,0,0.00,,,,,,
2021,2021-03-20,14,Calling My Phone,Lil Tjay,0,english,647,0,0.00,,,,,,
2021,2021-03-20,15,Positions,Ariana Grande,0,english,351,0,0.00,,,,,,
2021,2021-03-20,16,Back In Blood,Pooh Shiesty,0,english,716,0,0.00,,,,,,
2021,2021-03-20,17,Therefore I Am,Billie Eilish,0,english,323,0,0.00,,,,,,
2021,2021-03-20,18,Streets,Doja Cat,0,english,432,4,0.93,,,,,,
2021,2021-03-20,19,Good Days,SZA,0,english,431,0,0.00,,,,,,
2021,2021-03-20,20,you broke me first,Tate McRae,0,english,328,0,0.00,,,,,,
2021,2021-03-20,21,You're Mines Still,Yung Bleu,0,english,468,0,0.00,,,,,,
2021,2021-03-20,22,Best Friend,Saweetie,0,english,529,0,0.00,,,,,,
2021,2021-03-20,23,Dakiti,Bad Bunny,1,spanish,415,415,100.00,,,,,,
2021,2021-03-20,24,For The Night,Pop Smoke,0,english,581,0,0.00,,,,,,
2021,2021-03-20,25,Beat Box,SpotemGottem,0,english,336,0,0.00,,,,,,
2021,2021-03-20,26,Hold On,Justin Bieber,0,english,323,0,0.00,,,,,,
2021,2021-03-20,27,On Me,Lil Baby,0,english,490,0,0.00,,,,,,
2021,2021-03-20,28,My Exs Best Friend,Machine Gun Kelly,0,english,365,0,0.00,,,,,,
2021,2021-03-20,29,Whoopty,CJ,0,english,395,11,2.78,,,,,,
2021,2021-03-20,30,What's Your Country Song,Thomas Rhett,0,english,274,0,0.00,,,,,,
2021,2021-03-20,31,Just The Way,Parmalee,0,english,511,0,0.00,1,,,,,
2021,2021-03-20,32,The Good Ones,Gabby Barrett,0,english,290,0,0.00,,,,,,
2021,2021-03-20,33,Good Time,Niko Moon,0,english,371,0,0.00,,,,,,
2021,2021-03-20,34,Real As It Gets,Lil Baby,0,english,845,6,0.71,1,,,,,
2021,2021-03-20,35,Put Your Records On,Ritt Momney,0,english,271,0,0.00,,,,,,
2021,2021-03-20,36,Better Together,Luke Combs,0,english,334,0,0.00,,,,,,
2021,2021-03-20,37,Astronaut In The Ocean,Masked Wolf,0,english,441,0,0.00,,,,,,
2021,2021-03-20,38,Anyone,Justin Bieber,0,english,325,0,0.00,,,,,,
2021,2021-03-20,39,No More Parties,Coi Leray,0,english,603,0,0.00,,,,,,
2021,2021-03-20,40,Telepatia,Kali Uchis,0,english,277,156,56.32,,,,,,
2021,2021-03-20,41,Starting Over,Chris Stapleton,0,english,257,0,0.00,,,,,,
2021,2021-03-20,42,Willow,Taylor Swift,0,english,412,0,0.00,,,,,,
2021,2021-03-20,43,Dynamite,BTS,0,english,450,0,0.00,,,,,,
2021,2021-03-20,44,Without You,The Kid LAROI,0,english,309,0,0.00,,,,,,
2021,2021-03-20,45,Cry Baby,Megan Thee Stallion,0,english,511,0,0.00,,,,,,
2021,2021-03-20,46,Throat Baby,BRS Kash,0,english,803,4,0.50,,,,,,
2021,2021-03-20,47,My Head And My Heart,Ava Max,0,english,302,0,0.00,,,,,,
2021,2021-03-20,48,Down To One,Luke Bryan,0,english,379,0,0.00,,,,,,
