"year","date","rank","song","artist","binary","language","total_words","non_e_words","percent","unique","position","streams","spins","radio_rank"
2020,2020-01-18,10,"lose you to love me","selena gomez",0,"english",359,0,0,0,28,4291918,6892,4
2020,2020-01-18,11,"ballin","dj mustard",0,"english",577,5,0.87,1,11,6166618,4375,10
2020,2020-01-18,12,"bop","dababy",0,"english",708,0,0,1,5,7985170,2780,26
2020,2020-01-18,13,"highest in the room","travis scott",0,"english",360,3,0.83,0,35,3735347,3348,19
2020,2020-01-18,14,"dont start now","dua lipa",0,"english",278,0,0,0,16,5216621,3667,18
2020,2020-01-18,15,"no guidance","chris brown",0,"english",612,0,0,1,48,3216358,3677,17
2020,2020-01-18,16,"trampoline","shaed",0,"english",218,0,0,1,96,2239963,5579,7
2020,2020-01-18,17,"heartless","the weeknd",0,"english",378,0,0,0,108,2171386,4476,9
2020,2020-01-18,18,"senorita","shawn mendes",0,"english",357,5,1.4,0,46,3289924,2909,22
2020,2020-01-18,19,"everything i wanted","billie eilish",0,"english",305,0,0,0,10,6181388,2559,35
2020,2020-01-18,20,"truth hurts","lizzo",0,"english",428,0,0,0,39,3433280,4279,11
2020,2020-01-18,21,"hot","young thug",0,"english",572,0,0,1,41,5638708,1510,65
2020,2020-01-18,22,"woah","lil baby",0,"english",664,1,0.15,0,26,4528520,1669,58
2020,2020-01-18,23,"panini","lil nas x",0,"english",212,2,0.94,0,139,1880826,4162,12
2020,2020-01-18,24,"adore you","harry styles",0,"english",303,0,0,0,13,5918797,2496,37
2020,2020-01-18,25,"only human","jonas brothers",0,"english",329,0,0,0,201,1536995,3852,14
2020,2020-01-18,26,"the bones","maren morris",0,"english",319,0,0,0,201,1536995,3069,20
2020,2020-01-18,27,"one man band","old dominion",0,"english",315,0,0,0,111,2153703,2330,41
2020,2020-01-18,28,"bandit","juice wrld",0,"english",627,0,0,0,8,6938158,542,184
2020,2020-01-18,29,"hot girl bummer","blackbear",0,"english",513,0,0,0,18,4897726,2904,23
2020,2020-01-18,30,"futsal shuffle 2020","lil uzi vert",0,"english",762,2,0.26,1,9,6802710,214,501
